"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 17 22:54:01 GMT+04:00 2024","Wed Jul 17 22:54:01 GMT+04:00 2024","190","","test_5_User_Login","","","","test_login",""
"passed","Wed Jul 17 22:53:59 GMT+04:00 2024","Wed Jul 17 22:53:59 GMT+04:00 2024","37","","test_1_Fetch_User","","","","test_get_user",""
"passed","Wed Jul 17 22:54:01 GMT+04:00 2024","Wed Jul 17 22:54:02 GMT+04:00 2024","201","","test_7_User_Logout","","","","test_logout",""
"passed","Wed Jul 17 22:54:01 GMT+04:00 2024","Wed Jul 17 22:54:01 GMT+04:00 2024","191","","test_6_User_Registration","","","","test_register_fail",""
"passed","Wed Jul 17 22:53:59 GMT+04:00 2024","Wed Jul 17 22:54:00 GMT+04:00 2024","553","","test_3_Update_User","","","","test_update_user",""
"passed","Wed Jul 17 22:54:01 GMT+04:00 2024","Wed Jul 17 22:54:01 GMT+04:00 2024","200","","test_6_User_Registration","","","","test_register",""
"passed","Wed Jul 17 22:53:59 GMT+04:00 2024","Wed Jul 17 22:53:59 GMT+04:00 2024","56","","test_1_Fetch_User","","","","test_get_users",""
"passed","Wed Jul 17 22:54:01 GMT+04:00 2024","Wed Jul 17 22:54:01 GMT+04:00 2024","196","","test_5_User_Login","","","","test_login_fail",""
"passed","Wed Jul 17 22:53:59 GMT+04:00 2024","Wed Jul 17 22:53:59 GMT+04:00 2024","322","","test_2_Create_User","","","","test_create_user",""
"passed","Wed Jul 17 22:54:00 GMT+04:00 2024","Wed Jul 17 22:54:00 GMT+04:00 2024","403","","test_3_Update_User","","","","test_patch_user",""
"passed","Wed Jul 17 22:54:00 GMT+04:00 2024","Wed Jul 17 22:54:01 GMT+04:00 2024","197","","test_4_Delete_User","","","","test_delete_user",""
